Nazwa zawodów;Data_przetworzona;miesiac;rok;Dystans_czyszczony;Miejsce_przetworzone;WOJEWODZTWO;gorskie
IV Bieg na Kokocińcu;10-05-2025;maj;2025;5 km;KATOWICE;ŚLĄSKIE;0
XXXV Ostródzkie Biegi Uliczne;10-05-2025;maj;2025;10 km;OSTRÓDA;WARMIŃSKO-MAZURSKIE;0
Charytatywny Bieg Krokodyla;10-05-2025;maj;2025;10 km;POZNAŃ;WIELKOPOLSKIE;0
XX Memoriał Radnego jana Koniecznego;10-05-2025;maj;2025;12 km;RUDA ŚLĄSKA;ŚLĄSKIE;0
Rock Run Jarocin;10-05-2025;maj;2025;21.097 km;JAROCIN;PODKARPACKIE;0
IV Bieg na Kokocińcu;10-05-2025;maj;2025;5 km, 10 km;KATOWICE;ŚLĄSKIE;0
XX Memoriał Radnego Jana Koniecznego;10-05-2025;maj;2025;5 km;RUDA ŚLĄSKA;ŚLĄSKIE;0
TRIPLET LEŚNY;10-05-2025;maj;2025;5.5 km;KUŹNICA ZBĄSKA;WIELKOPOLSKIE;0
Ultramaraton Beskidzki Topór;10-05-2025;maj;2025;42.5 km, 73.5 km, 106 km;ANDRYCHÓW;MAŁOPOLSKIE;1
VII Ultramaraton Warmiński Warneland;10-05-2025;maj;2025;53 km;OLSZTYN;ŚLĄSKIE;0
XXXII Biegi Żnińskie;10-05-2025;maj;2025;10 km;ŻNIN;KUJAWSKO-POMORSKIE;0
XIII Bieg Skawiński na Rolkach;11-05-2025;maj;2025;10 km;SKAWINA;MAŁOPOLSKIE;0
XXII Bieg Skawiński, III Skawiński Nordic Walking;11-05-2025;maj;2025;10 km;SKAWINA;MAŁOPOLSKIE;0
40 Półmaraton Solan;11-05-2025;maj;2025;21.097 km;NOWA SÓL;LUBUSKIE;0
Marconi Duathlon Świdnica 2025;11-05-2025;maj;2025;;ŚWIDNICA;DOLNOŚLĄSKIE;0
"XXII Bieg Skawiński
XVI Mistrzostwa Polski Energetyków";11-05-2025;maj;2025;9 km, 10 km;SKAWINA;MAŁOPOLSKIE;0
4 Wróblewska Eko Dycha;11-05-2025;maj;2025;10 km;WRÓBLEW;ŁÓDZKIE;0
4 Festiwal Górski;11-05-2025;maj;2025;42 km;JEDLINA-ZDRÓJ;DOLNOŚLĄSKIE;0
Gontyniec Ultra Trail;11-05-2025;maj;2025;52 km;CHODZIEŻ;WIELKOPOLSKIE;0
Akademicka Dycha;11-05-2025;maj;2025;10 km;SIEDLCE;MAZOWIECKIE;0
51 Maraton Dębno;11-05-2025;maj;2025;42.195 km;DĘBNO;MAŁOPOLSKIE;0
III Biegu Pamięci Ofiar KL Stutthof;11-05-2025;maj;2025;10 km;SZTUTOWO;POMORSKIE;0
Dziki Bieg - Lato;11-05-2025;maj;2025;23 km;WARSZAWA;MAZOWIECKIE;1
Gontyniec Ultra Trail;11-05-2025;maj;2025;12 km, 26 km, 51.5 km;CHODZIEŻ;WIELKOPOLSKIE;1
2 poUErun;11-05-2025;maj;2025;5 km;KOSZALIN;ZACHODNIOPOMORSKIE;0
"Tczew, ""III Bieg Tapflo - Dycha z Pompą""";11-05-2025;maj;2025;;TCZEW;POMORSKIE;0
"Starogard Gdański, ""Puchar Pomorza w biegach dzieci i młodzieży""";11-05-2025;maj;2025;;STAROGARD GDAŃSKI;POMORSKIE;0
"Sztutowo, ""BIEG I MARSZ PAMIĘCI OFIAR KL STUTTHOF""";11-05-2025;maj;2025;10 km, 18 km;SZTUTOWO;POMORSKIE;0
XIV Działoszyńska Dziesiątka;11-05-2025;maj;2025;1 km, 5 km, 10 km;DZIAŁOSZYN;ŁÓDZKIE;0
5 Kryterium Biegowe Łopuszki Małej;11-05-2025;maj;2025;10 km;ŁOPUSZKA MAŁA;PODKARPACKIE;0
Dzieci - PÓŁMARATON... CHCE CI SIĘ? 2025;11-05-2025;maj;2025;0.2 km, 0.5 km, 1 km;CISIE;MAZOWIECKIE;0
BIEG PO PUSZCZY;11-05-2025;maj;2025;7.41 km, 15.15 km, 21.097 km;NIEPOŁOMICE;MAŁOPOLSKIE;0
12 Białystok Półmaraton;11-05-2025;maj;2025;21.097 km;BIAŁYSTOK;PODLASKIE;0
PÓŁMARATON... CHCE CI SIĘ? 2025;11-05-2025;maj;2025;22 km, 32 km;CISIE;MAZOWIECKIE;0
Keep Run Malta #52;13-05-2025;maj;2025;5 km;POZNAŃ;WIELKOPOLSKIE;0
Wadowicka Dycha;17-05-2025;maj;2025;10 km;WADOWICE;MAŁOPOLSKIE;0
XVI Katowicki Festiwal Biegowy;17-05-2025;maj;2025;21.097 km;KATOWICE;ŚLĄSKIE;0
X Ultra Pazur Trail;17-05-2025;maj;2025;50 km;STARA BIAŁA;MAZOWIECKIE;0
XII Olecka Trzynastka;17-05-2025;maj;2025;13 km;OLECKO;WARMIŃSKO-MAZURSKIE;0
XVI Grand Prix Mysłowic O Puchar „...;17-05-2025;maj;2025;6.7 km;MYSŁOWICE;ŚLĄSKIE;0
Pociąg do biegania VII Chrzanowski Bieg Uliczny;17-05-2025;maj;2025;5 km, 10 km;CHRZANÓW;LUBELSKIE;0
"12 BIEG KONOPIELKI
BIEG FAMILIJNY";17-05-2025;maj;2025;;JUCHNOWIEC DOLNY;PODLASKIE;0
"Olecko, ""XII Olecka Trzynastka""";17-05-2025;maj;2025;;OLECKO;WARMIŃSKO-MAZURSKIE;0
"Tczew, ""Silgan Ćwierćmaraton """;17-05-2025;maj;2025;10.540 km;TCZEW;POMORSKIE;0
Wadowicka Dycha 2025;17-05-2025;maj;2025;0.4 km, 10 km;WADOWICE;MAŁOPOLSKIE;0
XVI Katowicki Festiwal Biegowy im. Jerzego Kukuczki;17-05-2025;maj;2025;5 km, 8 km, 10 km, 21 km;KATOWICE;ŚLĄSKIE;0
"Stanica wodna PTTK Bachotek, ""Gravel Triathlon Zbiczno """;17-05-2025;maj;2025;;BACHOTEK;KUJAWSKO-POMORSKIE;0
12 BIEG KONOPIELKI;17-05-2025;maj;2025;10 km;JUCHNOWIEC DOLNY;PODLASKIE;0
X Silver Run Półmaraton;17-05-2025;maj;2025;21.097 km;STOSZOWICE;DOLNOŚLĄSKIE;0
Silver Run Maraton;17-05-2025;maj;2025;42.195 km;SREBRNA GÓRA;DOLNOŚLĄSKIE;0
Ultra Roztocze;17-05-2025;maj;2025;28.5 km, 44 km, 62 km;SUSIEC;LUBELSKIE;1
11. Dynowska Zadyszka;17-05-2025;maj;2025;10 km;DYNÓW;PODKARPACKIE;0
6 Bieg Skywayrun Gdańsk Airport;18-05-2025;maj;2025;5 km;GDAŃSK;POMORSKIE;0
18 Bieg Wiosny;18-05-2025;maj;2025;5 km;RYBNIK;ŚLĄSKIE;0
XIII Panewnicki Bieg Dzika (05);18-05-2025;maj;2025;19.528 km;KATOWICE;ŚLĄSKIE;0
II Kołobrzeski Półmaraton Brzegiem Bałty...;18-05-2025;maj;2025;21.097 km;KOŁOBRZEG;ZACHODNIOPOMORSKIE;0
Oko w Oko z Rakiem (zapisy wkrótce);18-05-2025;maj;2025;;GLIWICE;ŚLĄSKIE;0
18. Bieg Wiosny;18-05-2025;maj;2025;5 km;RYBNIK;ŚLĄSKIE;0
Bieg po Schodach 2/2;21-05-2025;maj;2025;;CHŁAPOWO;POMORSKIE;0
Leśna Piątka na Dychę;22-05-2025;maj;2025;10 km;KOSZALIN;ZACHODNIOPOMORSKIE;0
FAMILLY RUN-(zapisy wkrótce);23-05-2025;maj;2025;;KRAKÓW;MAŁOPOLSKIE;0
Ultra-Trail® Małopolska;23-05-2025;maj;2025;111.5 km, 178 km, 251 km;KASINKA MAŁA;MAŁOPOLSKIE;1
Pancerna Piątka;24-05-2025;maj;2025;5 km;ŻURAWICA;PODKARPACKIE;0
Sowi Bieg;24-05-2025;maj;2025;10 km;DZIERŻONIÓW;DOLNOŚLĄSKIE;0
Ultramaraton Jaga-Kora;24-05-2025;maj;2025;46 km;RYMANÓW-ZDRÓJ;PODKARPACKIE;0
22 Półmaraton Hajnowski;24-05-2025;maj;2025;21.097 km;HAJNÓWKA;PODLASKIE;0
Bieg Ulicą Piotrkowską Rossman Run;24-05-2025;maj;2025;10 km;ŁÓDŹ;ŁÓDZKIE;0
XX Cross Maraton Przez Piekło do Nieba;24-05-2025;maj;2025;42.195 km;NIEBO;KUJAWSKO-POMORSKIE;0
"Półmaraton Bieg Lwa
Sztafeta Lwów";24-05-2025;maj;2025;10 km, 21.097 km;TARNOWO PODGÓRNE;WIELKOPOLSKIE;0
"Gdańsk, ""Otwarte Mistrzostwa Gdańska w Cross Duathlonie 2025""";24-05-2025;maj;2025;5 km, 10 km, 16 km, 33 km;GDAŃSK;POMORSKIE;0
"Bory Tucholskie, ""WłóczyKijowy Challenge Bory Tucholskie Ultra rajd""";24-05-2025;maj;2025;42 km, 42.195 km;BORY TUCHOLSKIE;;0
FAMILLY RUN-(zapisy wkrótce);24-05-2025;maj;2025;;KRAKÓW;MAŁOPOLSKIE;0
"Swornegacie Małe, ""Tour de Romgaz""";24-05-2025;maj;2025;50 km;MAŁE SWORNEGACIE;POMORSKIE;0
Pancerna Piątka;24-05-2025;maj;2025;;ŻURAWICA;PODKARPACKIE;0
Bieg Ulicą Piotrkowską Rossmann Run;24-05-2025;maj;2025;10 km;ŁÓDŹ;ŁÓDZKIE;0
Bieg Lwa;24-05-2025;maj;2025;10 km, 21.097 km;TARNOWO PODGÓRNE;WIELKOPOLSKIE;0
"Hajnówka, ""22. Półmaraton Hajnowski""";24-05-2025;maj;2025;21.097 km;HAJNÓWKA;PODLASKIE;0
22. Bieg Ulicą Piotrkowską Rossmann Run;24-05-2025;maj;2025;10 km;ŁÓDŹ;ŁÓDZKIE;0
Bieg Sówki 2025 - Biegi dziecięce i młodzieżowe;24-05-2025;maj;2025;;DZIERŻONIÓW;DOLNOŚLĄSKIE;0
Sowi Bieg 2025;24-05-2025;maj;2025;5 km, 10 km;DZIERŻONIÓW;DOLNOŚLĄSKIE;0
Sztacheta Trail Running & Nordic Walking edycja 4;24-05-2025;maj;2025;1 km, 7 km;SŁOWIK;ŁÓDZKIE;0
GOforSMILE 2025 - STUDENT;24-05-2025;maj;2025;1.5 km, 5.5 km, 10 km, 19 km, 20 km;BUKOWIEC;KUJAWSKO-POMORSKIE;0
Ultramaraton Jaga-Kora;24-05-2025;maj;2025;17 km, 26 km, 46 km;RYMANÓW-ZDRÓJ;PODKARPACKIE;1
GOforSMILE 2025;24-05-2025;maj;2025;0.5 km, 1.5 km, 5.5 km, 10 km, 19 km, 20 km;BUKOWIEC;KUJAWSKO-POMORSKIE;0
"XX CROSS MARATON „PRZEZ PIEKŁO DO NIEBA""";24-05-2025;maj;2025;21.0975 km, 21.1 km, 42.195 km;NIEBO;KUJAWSKO-POMORSKIE;0
Nocny Patrol 2025 - nocny bieg górski i marsz NW na dystansach 35km i 17km;24-05-2025;maj;2025;17 km, 35 km;KIELCE;ŚWIĘTOKRZYSKIE;0
31. Bieg Fiata;25-05-2025;maj;2025;10 km;BIELSKO-BIAŁA;ŚLĄSKIE;0
XXX PÓŁMARATON JAWORSKI O PUCHAR BURMISTRZA JAWORA;25-05-2025;maj;2025;21.097 km;JAWOR;DOLNOŚLĄSKIE;0
15. Biegaj w Siechnicach;25-05-2025;maj;2025;5 km, 10 km;SIECHNICE;DOLNOŚLĄSKIE;0
16 Bieg Wegański;25-05-2025;maj;2025;10 km;WARSZAWA;MAZOWIECKIE;0
3 Bieg Zawierciański;25-05-2025;maj;2025;10 km;ZAWIERCIE;ŚLĄSKIE;0
Marceliński Bieg Wiosenny;25-05-2025;maj;2025;5 km;POZNAŃ;WIELKOPOLSKIE;0
14 Biegaj w Siechnicach;25-05-2025;maj;2025;10 km;SIECHNICE;DOLNOŚLĄSKIE;0
Bieg o Koronę Księżnej Dąbrówki;25-05-2025;maj;2025;10 km;DOPIEWO;WIELKOPOLSKIE;0
XXX Półmaraton Jaworski;25-05-2025;maj;2025;21.097 km;JAWOR;DOLNOŚLĄSKIE;0
31 Bieg Fiata;25-05-2025;maj;2025;10 km;BIELSKO-BIAŁA;ŚLĄSKIE;0
"Zawiercie, ""PROMAR - RUN 3 Bieg Zawierciański""";25-05-2025;maj;2025;5 km, 10 km;ZAWIERCIE;ŚLĄSKIE;0
Myśliborska 10-tka;25-05-2025;maj;2025;10 km;MYŚLIBORZ;ZACHODNIOPOMORSKIE;0
VI Bieg Charytatywny Śladami Zeflika;25-05-2025;maj;2025;8 km;NIEZDROWICE;OPOLSKIE;0
13 Traithlon Sieraków;31-05-2025;maj;2025;113 km;SIERAKÓW;WIELKOPOLSKIE;0
Gliwicka Parkowa Prowokacja Biegowa-sezo...;31-05-2025;maj;2025;21.097 km;GLIWICE;ŚLĄSKIE;0
8. Bieg Pamięci Absolwentów Szkoły Podchorążych Piechoty w Komorowie/Ostrowi Mazowieckiej;31-05-2025;maj;2025;0.1 km, 0.4 km, 0.8 km, 5 km, 10 km;KOMOROWO;WIELKOPOLSKIE;0
ULTRAPODKARPACIE [Podkarpacki Festiwal Sportowy];31-05-2025;maj;2025;21 km, 21.097 km, 42 km, 42.195 km, 63 km;RZESZÓW;PODKARPACKIE;0
Bieg na Ślężę;31-05-2025;maj;2025;5 km;SOBÓTKA;DOLNOŚLĄSKIE;1
„Łubowo odDYCHA” III bieg śladem Chrobrego i Ottona.;31-05-2025;maj;2025;10 km;DZIEKANOWICE - ŁUBOWO;;0
"Gdańsk, ""#RUNGDN Hevelianum""";31-05-2025;maj;2025;5 km;GDAŃSK;POMORSKIE;0
XXXI Bieg Górski na Ślężę;31-05-2025;maj;2025;5 km;SOBÓTKA;DOLNOŚLĄSKIE;0
5 Złotoryjska Złota Dycha;31-05-2025;maj;2025;5 km, 10 km;ZŁOTORYJA;DOLNOŚLĄSKIE;0
"Kobylnica, ""Puchar Kobylnicy 2/3 - Biegi przełajowe dla dzieci i młodzieży - Puchar Pomorza""";31-05-2025;maj;2025;;KOBYLNICA;POMORSKIE;0
Zduńskowolski Festiwal Biegowy;31-05-2025;maj;2025;21.0975 km;ZDUŃSKA WOLA;ŁÓDZKIE;0
VIII Lisewski Bieg Jaszczurczy;31-05-2025;maj;2025;10 km;LISEWO;KUJAWSKO-POMORSKIE;0
43 Półmaraton Gochów;01-06-2025;czerwiec;2025;21.097 km;BYTÓW;POMORSKIE;0
IV Półmaraton Po Kolei;01-06-2025;czerwiec;2025;21.098 km;LEMANY;WARMIŃSKO-MAZURSKIE;0
Leśna Piątka Pikuś;01-06-2025;czerwiec;2025;2.5 km;KOSZALIN;ZACHODNIOPOMORSKIE;0
Żnin Triathlon;01-06-2025;czerwiec;2025;113 km;ŹNIN;KUJAWSKO-POMORSKIE;0
V Eko Bieg z Gwizdkiem po zdrowie;01-06-2025;czerwiec;2025;8 km;JERZMANOWICE K. KRAKOWA;;0
VI Bieg Kolorowej Skarpetki oraz GPP Nordic Walking;01-06-2025;czerwiec;2025;3 km, 5 km, 10 km, 321 m;RZESZÓW;PODKARPACKIE;0
V EKO Bieg z z Gwizdkiem po Zdrowie;01-06-2025;czerwiec;2025;8 km;JERZMANOWICE;MAŁOPOLSKIE;0
Kurpiowski Pśejåk 2025;07-06-2025;czerwiec;2025;0.2 km, 0.4 km, 0.8 km, 5 km, 21 km;NOWOGRÓD;PODLASKIE;0
V Półmaraton Kurpiowski Pśejak;07-06-2025;czerwiec;2025;21.097 km;NOWOGRÓD;PODLASKIE;0
XII Bieg Nyski;07-06-2025;czerwiec;2025;10 km;NYSA;OPOLSKIE;0
XIV Żmigrodzki Bieg Smoka;07-06-2025;czerwiec;2025;10 km;ŻMIGRÓD;DOLNOŚLĄSKIE;0
Poznańska Piwna Mila #17;07-06-2025;czerwiec;2025;1 km;POZNAŃ;WIELKOPOLSKIE;0
Ultramaraton Babia Góra;07-06-2025;czerwiec;2025;38.5 km, 54 km, 71.5 km;ZAWOJA;MAŁOPOLSKIE;1
39 Strzeliński Rogaining;07-06-2025;czerwiec;2025;;STRZELIN;DOLNOŚLĄSKIE;0
"Pelplin, ""Bieg Papieski""";08-06-2025;czerwiec;2025;;PELPLIN;POMORSKIE;0
"Puck, ""PGK Triathlon Puck 2025 - sztafety""";08-06-2025;czerwiec;2025;;PUCK;POMORSKIE;0
"Puck, ""PGK Triathlon Puck 2025""";08-06-2025;czerwiec;2025;;PUCK;POMORSKIE;0
IX Ostródzki Półmaraton św. Jerzego;08-06-2025;czerwiec;2025;21.098 km;OSTRÓDA;WARMIŃSKO-MAZURSKIE;0
Grodziski Półmaraton Słowaka;08-06-2025;czerwiec;2025;21.097 km;GRODZISK WIELKOPOLSKI;WIELKOPOLSKIE;0
VI Bieg KRZEMIONKA CROSS;08-06-2025;czerwiec;2025;5 km, 12 km, 21 km;LGOTA;ŚLĄSKIE;0
Ironman 70.3 Triathlon;08-06-2025;czerwiec;2025;113 km;WARSZAWA;MAZOWIECKIE;0
Piławska Skałka 2025 - Biegi dzieci;08-06-2025;czerwiec;2025;;PIŁAWA GÓRNA;DOLNOŚLĄSKIE;0
8 Leśny Bieg Suszecki;08-06-2025;czerwiec;2025;10 km;SUSZEC;ŚLĄSKIE;0
Piławska Skała 2025;08-06-2025;czerwiec;2025;5 km, 11 km;PIŁAWA GÓRNA;DOLNOŚLĄSKIE;0
Tatra Fest Bieg;13-06-2025;czerwiec;2025;25 km, 69.5 km;ZAKOPANE;MAŁOPOLSKIE;1
Tatra Fest;13-06-2025;czerwiec;2025;69 km;ZAKOPANE;MAŁOPOLSKIE;0
Bieg Wierchami;14-06-2025;czerwiec;2025;10.5 km, 30.5 km, 59 km;RYTRO;MAŁOPOLSKIE;1
Zielonka Challenge;14-06-2025;czerwiec;2025;46.5 km, 73 km, 100.5 km;MUROWANA GOŚLINA;WIELKOPOLSKIE;1
11 Nocny Wrocław Półmaraton;14-06-2025;czerwiec;2025;21.097 km;WROCŁAW;DOLNOŚLĄSKIE;0
11. PKO Nocny Wrocław Półmaraton;14-06-2025;czerwiec;2025;21.097 km;WROCŁAW;DOLNOŚLĄSKIE;0
Warmia Run Challenge - IV Festiwal Biego...;14-06-2025;czerwiec;2025;21.097 km;OLSZTYN;ŚLĄSKIE;0
Mazowiecki Ultra Skrocz 2025;14-06-2025;czerwiec;2025;14 km, 26 km, 53 km;ŁOCHÓW;MAZOWIECKIE;0
Biegi w Rogoźniku;14-06-2025;czerwiec;2025;104 km;ROGOŹNIK;ŚLĄSKIE;0
XII Bieg Wierchami;14-06-2025;czerwiec;2025;65 km;RYTRO;MAŁOPOLSKIE;0
Nocny Maraton Kanału Bydgoskiego od 2007...;14-06-2025;czerwiec;2025;42.2 km;BYDGOSZCZ;KUJAWSKO-POMORSKIE;0
III Bieg po Truskawkę;14-06-2025;czerwiec;2025;10 km;KSIĘŻY LAS;ŚLĄSKIE;0
XIII Panewnicki Bieg Dzika (06);15-06-2025;czerwiec;2025;19.528 km;KATOWICE;ŚLĄSKIE;0
XXXIV Bieg Baborowa im. Edwarda Gorczyńs...;15-06-2025;czerwiec;2025;7 km;BABORÓW;OPOLSKIE;0
XIV Lubawska Dycha;15-06-2025;czerwiec;2025;10 km;LUBAWA;WARMIŃSKO-MAZURSKIE;0
XIII Półmaraton Radomskiego Czerwca ‘76;15-06-2025;czerwiec;2025;5 km, 21.975 km;RADOM;MAZOWIECKIE;0
"Szpęgawsk, ""VII Bieg BiegamBoLubię Lasy Szpęgawsk""";15-06-2025;czerwiec;2025;;SZPĘGAWSK;POMORSKIE;0
Festiwal Biegu Rzeźnika;18-06-2025;czerwiec;2025;53 km, 86.5 km, 96.5 km;CISNA;PODKARPACKIE;1
XI Festiwal Biegu Rzeźnika;18-06-2025;czerwiec;2025;84 km;CISNA;PODKARPACKIE;0
Nocny Bieg Świętojański;20-06-2025;czerwiec;2025;10 km;GDYNIA;POMORSKIE;0
IX Festiwal Biegów Polski Północnej;20-06-2025;czerwiec;2025;15 km;WDZYDZE KISZEWSKIE;POMORSKIE;0
"Gdynia, ""Nocny Bieg Świętojański z Decathlon""";20-06-2025;czerwiec;2025;;GDYNIA;POMORSKIE;0
iSandS CROSS TRIATHLON TOUR;21-06-2025;czerwiec;2025;;MOSTKI;;0
15 Półmaraton Księżycowy;21-06-2025;czerwiec;2025;21.1 km;RYBNIK;ŚLĄSKIE;0
15. PKO Rybnicki Półmaraton Księżycowy oraz Nocna Dycha+;21-06-2025;czerwiec;2025;10.5 km, 21.097 km;RYBNIK;ŚLĄSKIE;0
14 Górski Półmaraton Pętli Tatrzańskiej;21-06-2025;czerwiec;2025;21.097 km;KOSZALIN;ZACHODNIOPOMORSKIE;0
XXXVI Cross Świętojański im. Jana Marka w Pogórzu;21-06-2025;czerwiec;2025;8.6 km, 12.5 km;POGÓRZE;POMORSKIE;0
"Tczew, ""Tczew na 5 z Flex Poland""";21-06-2025;czerwiec;2025;;TCZEW;POMORSKIE;0
5 Terminal Run Port Gdynia;22-06-2025;czerwiec;2025;5 km;GDYNIA;POMORSKIE;0
XIII Półmaraton Stolema;22-06-2025;czerwiec;2025;21 km;WDZYDZE KISZEWSKIE;POMORSKIE;0
X Bieg Szlakiem Pluderskich Stawów;22-06-2025;czerwiec;2025;8 km;PLUDRY;OPOLSKIE;0
"Gdynia, ""ONE TERMINAL RUN HUTCHISON PORTS GDYNIA 2025 - KIDS""";22-06-2025;czerwiec;2025;;GDYNIA;POMORSKIE;0
"Gdynia, ""ONE TERMINAL RUN HUTCHISON PORTS GDYNIA 2025""";22-06-2025;czerwiec;2025;5 km;GDYNIA;POMORSKIE;0
II Bieg pod Byczyną;22-06-2025;czerwiec;2025;10 km;BYCZYNA;OPOLSKIE;0
2 Bieg pod Byczyną;22-06-2025;czerwiec;2025;5 km, 10 km;BYCZYNA;OPOLSKIE;0
"Festiwal Biegowy Ultra Way
Gwiazda Północy";27-06-2025;czerwiec;2025;14 km, 27 km, 50 km, 100 km, 160 km;GDYNIA;POMORSKIE;0
Supermaraton Gór Stołowych;27-06-2025;czerwiec;2025;4 km, 21 km, 55 km;KARŁÓW;DOLNOŚLĄSKIE;1
BIEGAJ Z DUCHAMI - Straszna ExtremeJura;27-06-2025;czerwiec;2025;9 km, 15 km;ŻARKI;ŚLĄSKIE;0
35. Sudecka 100 na BIS;27-06-2025;czerwiec;2025;42 km, 100 km;BOGUSZÓW-GORCE;DOLNOŚLĄSKIE;0
Sudecka 100;27-06-2025;czerwiec;2025;44.5 km, 100 km;BOGUSZÓW-GORCE;DOLNOŚLĄSKIE;1
CykloCekcyn;27-06-2025;czerwiec;2025;50 km;CEKCYN;KUJAWSKO-POMORSKIE;0
Biegaj z Duchami - Straszna ExtremeJura;27-06-2025;czerwiec;2025;15 km;ZARKI;ŚLĄSKIE;0
ROZTOCZAŃSKI FESTIWAL BIEGOWY- EDYCJA 2025;27-06-2025;czerwiec;2025;5 km, 7 km, 10 km, 21 km, 30 km, 42 km, 60 km;LUBACZÓW;PODKARPACKIE;0
III Roztoczański Festiwal Biegowy;27-06-2025;czerwiec;2025;42.195 km;BASZNIA DOLNA;PODKARPACKIE;0
Gliwicka Parkowa Prowokacja Biegowa-sezo...;28-06-2025;czerwiec;2025;21.097 km;GLIWICE;ŚLĄSKIE;0
XVI Grand Prix Mysłowic O Puchar „...;28-06-2025;czerwiec;2025;6.7 km;MYSŁOWICE;ŚLĄSKIE;0
Gruba Dycha 2025;28-06-2025;czerwiec;2025;10 km;KĘDZIERZYN-KOŹLE;OPOLSKIE;0
"Kartuzy, ""Kaszubski Gravel KARTUZY""";28-06-2025;czerwiec;2025;80 km, 100 km, 150 km, 200 km, 250 km;KARTUZY;POMORSKIE;0
12-godzinny Kędzierzyn-Koźle;28-06-2025;czerwiec;2025;;KĘDZIERZYN-KOŹLE;OPOLSKIE;0
Telegraf Trail 2025 - Najtrudniejsza dycha w życiu!;28-06-2025;czerwiec;2025;10 km;KIELCE;ŚWIĘTOKRZYSKIE;0
Grand Prix Biskupca 2025 #2;28-06-2025;czerwiec;2025;5 km;BISKUPIEC;WARMIŃSKO-MAZURSKIE;0
XX Półmaraton Unisławski;28-06-2025;czerwiec;2025;21.097 km;UNISŁAW;KUJAWSKO-POMORSKIE;0
Supermaraton Gór Stołowych;28-06-2025;czerwiec;2025;55 km;KARŁÓW;DOLNOŚLĄSKIE;0
27. Ogólnopolski Bieg Milowego Słupa - Konin 28.06.2025 r;28-06-2025;czerwiec;2025;5 km, 10 km;KONIN;WIELKOPOLSKIE;0
4 Półmaraton Zbucki, 4 Piątka Zbucka i NW;29-06-2025;czerwiec;2025;0.1 km, 0.2 km, 0.4 km, 0.6 km, 1 km, 5 km, 21 km;ZBUCZYN;MAZOWIECKIE;0
Izerski Weekend Biegowy 2025;29-06-2025;czerwiec;2025;5 km, 21.097 km, 42.195 km;SZKLARSKA PORĘBA;DOLNOŚLĄSKIE;0
4 Kańczucka Dycha;29-06-2025;czerwiec;2025;10 km;KAŃCZUGA;PODKARPACKIE;0
"Gniew, ""XI Bieg Gniewski z LECA""";29-06-2025;czerwiec;2025;;GNIEW;POMORSKIE;0
4 Półmaraton Zbucki;29-06-2025;czerwiec;2025;21.097 km;ZBUCZYN;MAZOWIECKIE;0
Bike Adventure - International MTB 4 - Stages Race;03-07-2025;lipiec;2025;;SZKLARSKA PORĘBA;DOLNOŚLĄSKIE;0
iSandS CROSS TRIATHLON TOUR;05-07-2025;lipiec;2025;;STRAWCZYN;ŚWIĘTOKRZYSKIE;0
V Półmaraton Gęstwinami Murckowskimi;05-07-2025;lipiec;2025;21.097 km;KATOWICE;ŚLĄSKIE;0
Załęcze Ultra Run 2025;05-07-2025;lipiec;2025;21 km, 42 km, 60 km;BOBROWNIKI;KUJAWSKO-POMORSKIE;0
Bieg Opolski;05-07-2025;lipiec;2025;10 km;OPOLE;OPOLSKIE;0
Półmaraton Gęstwinami Murckowskimi;05-07-2025;lipiec;2025;21 km;KATOWICE;ŚLĄSKIE;1
Bieg na Jawornik;05-07-2025;lipiec;2025;4.5 km, 10 km, 20.5 km;ZŁOTY STOK;DOLNOŚLĄSKIE;1
Półmaraton Sowiogórski;05-07-2025;lipiec;2025;21.5 km;LUDWIKOWICE KŁODZKIE;DOLNOŚLĄSKIE;1
V Półmaraton Gęstwinami Murckowskimi;05-07-2025;lipiec;2025;5 km, 21 km;KATOWICE;ŚLĄSKIE;0
XIII Panewnicki Bieg Dzika (07);06-07-2025;lipiec;2025;19.528 km;KATOWICE;ŚLĄSKIE;0
Chwałowicki Maraton Napoleoński;06-07-2025;lipiec;2025;42.2 km;CHWAŁOWICE;MAŁOPOLSKIE;0
IV Lędziński Cross Triathlon;06-07-2025;lipiec;2025;15.8 km;LĘDZINY;ŚLĄSKIE;0
3 x Śnieżka= Mont Blanc;10-07-2025;lipiec;2025;58.5 km;KARPACZ;DOLNOŚLĄSKIE;0
IX Świerczyniecki Bieg Uliczny;12-07-2025;lipiec;2025;10 km;ŚWIERCZYNIEC;ŚLĄSKIE;0
Bydgoszcz Traithlon;12-07-2025;lipiec;2025;27.725 km;BYDGOSZCZ;KUJAWSKO-POMORSKIE;0
2 Bieg Bycia;12-07-2025;lipiec;2025;5 km;BYTÓW;POMORSKIE;0
"Bolszewo, ""Mistrzostwa Polski w Technice Nordic Walking 2025""";12-07-2025;lipiec;2025;2.5 km, 5 km;BOLSZEWO;POMORSKIE;0
IX Świerczyniecki Bieg Uliczny;12-07-2025;lipiec;2025;5 km, 10 km, 50 m, 100 m, 650 m;ŚWIERCZYNIEC;ŚLĄSKIE;0
Dwernik Kamień Trail;13-07-2025;lipiec;2025;11 km, 23 km;DWERNIK;PODKARPACKIE;1
